,INSTNM,CITY,ADM_RATE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FAMINC
0,Alabama A & M University,Normal,0.684,920.0,5196.0,,23167.0,,10024.0,18634.0,,,
1,University of Alabama at Birmingham,Birmingham,0.8668,1291.0,12776.0,,26257.0,,8832.0,21216.0,,,
2,Amridge University,Montgomery,,,228.0,,,,,,,,
3,University of Alabama in Huntsville,Huntsville,0.781,1259.0,6985.0,,25777.0,,11878.0,24770.0,,,
4,Alabama State University,Montgomery,0.966,963.0,3296.0,,21900.0,,11068.0,19396.0,,,
5,The University of Alabama,Tuscaloosa,0.8006,1304.0,31360.0,,31024.0,,11940.0,32300.0,,,
6,Central Alabama Community College,Alexander City,,,963.0,,14041.0,,4990.0,8740.0,,,
7,Athens State University,Athens,,,2465.0,,,,,,,,
8,Auburn University at Montgomery,Montgomery,0.9223,1051.0,3307.0,,19771.0,,9100.0,19348.0,,,
9,Auburn University,Auburn,0.4374,1292.0,25234.0,,33650.0,,12176.0,32960.0,,,
10,Birmingham-Southern College,Birmingham,0.5717,1218.0,968.0,,35495.0,,21250.0,21250.0,,,
11,Chattahoochee Valley Community College,Phenix City,,,1101.0,,9320.0,,4980.0,8730.0,,,
12,South University-Montgomery,Montgomery,,,315.0,,32195.0,,17014.0,17014.0,,,
13,Enterprise State Community College,Enterprise,,,1359.0,,9452.0,,4920.0,8670.0,,,
14,Coastal Alabama Community College,Bay Minette,,,4809.0,,14446.0,,4920.0,8670.0,,,
15,Faulkner University,Montgomery,0.8241,1021.0,1587.0,,36169.0,,23920.0,23920.0,,,
16,Gadsden State Community College,Gadsden,,,3446.0,,10613.0,,3984.0,6984.0,,,
17,New Beginning College of Cosmetology,Albertville,,,45.0,,,17496.0,,,,,
18,George C Wallace Community College-Dothan,Dothan,,,3069.0,,8592.0,,4860.0,8610.0,,,
19,George C Wallace State Community College-Hanceville,Hanceville,,,4207.0,,15488.0,,4920.0,8670.0,,,
20,George C Wallace State Community College-Selma,Selma,,,856.0,,9195.0,,4620.0,8370.0,,,
21,Herzing University-Birmingham,Birmingham,0.9412,,570.0,,28152.0,,12750.0,12750.0,,,
22,Huntingdon College,Montgomery,0.6595,1086.0,810.0,,39717.0,,28350.0,28350.0,,,
23,Heritage Christian University,Florence,1.0,,72.0,,17810.0,,11632.0,11632.0,,,
24,J. F. Drake State Community and Technical College,Huntsville,,,698.0,,12078.0,,4890.0,8640.0,,,
25,J F Ingram State Technical College,Deatsville,,,768.0,,6084.0,,4860.0,4860.0,,,
26,Jacksonville State University,Jacksonville,0.7846,1055.0,7066.0,,22153.0,,11952.0,21912.0,,,
27,Jefferson State Community College,Birmingham,,,5550.0,,14677.0,,5220.0,8910.0,,,
28,John C Calhoun State Community College,Tanner,,,6549.0,,11532.0,,5000.0,8750.0,,,
29,Lawson State Community College,Birmingham,,,2554.0,,14471.0,,4920.0,8670.0,,,
30,University of West Alabama,Livingston,0.6886,1015.0,2424.0,,22456.0,,10990.0,20090.0,,,
31,Lurleen B Wallace Community College,Andalusia,,,1111.0,,10125.0,,4920.0,8670.0,,,
32,Marion Military Institute,Marion,0.627,,320.0,,18368.0,,9538.0,15538.0,,,
33,Miles College,Fairfield,,,1257.0,,22653.0,,12714.0,12714.0,,,
34,University of Mobile,Mobile,0.8408,1220.0,1108.0,,37908.0,,25880.0,25880.0,,,
35,University of Montevallo,Montevallo,0.5984,,2128.0,,26185.0,,13710.0,26730.0,,,
36,Northwest-Shoals Community College,Muscle Shoals,,,2026.0,,10919.0,,5011.0,8761.0,,,
37,University of North Alabama,Florence,0.9568,,5408.0,,21621.0,,11220.0,21420.0,,,
38,Northeast Alabama Community College,Rainsville,,,1565.0,,9660.0,,4920.0,8670.0,,,
39,Oakwood University,Huntsville,0.6805,,1378.0,,38377.0,,20040.0,20040.0,,,
40,Reid State Technical College,Evergreen,,,281.0,,11482.0,,4950.0,8700.0,,,
41,Bishop State Community College,Mobile,,,1943.0,,11616.0,,4920.0,8670.0,,,
42,Samford University,Birmingham,0.8326,1227.0,3668.0,,52514.0,,36725.0,36725.0,,,
43,Selma University,Selma,,,30.0,,,,4800.0,4800.0,,,
44,Shelton State Community College,Tuscaloosa,,,3257.0,,15065.0,,4980.0,8730.0,,,
